name,price,status,shipping,free_returns,items_sold
,,,,False,
ASUS ROG STRIX GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 W/ COOLER,239500,Open Box,1990,False,0
New ListingASUS TUF GeForce RTX 3080 OC V2 LHR 10GB GDDR6X Graphics Card,149900,Pre-Owned,0,False,
ASUS TUF NVIDIA GeForce RTX 3080 V2 OC Edition Gaming Graphics Card LHR- Sealed!,153998,Brand New,2000,False,0
New! NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,160000,Brand New,1835,False,
New ListingNVIDIA GeForce RTX 3080 Ti Founders Edition FE 12GB GDDR6X GPU New Sealed,177500,Brand New,1463,False,
New ListingNVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card - NON LHR,240000,Pre-Owned,2115,False,
EVGA GeForce RTX 3080 XC3 ULTRA GAMING 10G-P5-3885-KL LHR BRAND NEW SEALED,149500,Brand New,0,False,
New ListingNEW SEALED EVGA GeForce RTX 3080 XC3 Ultra Gaming 10GB LHR Graphics Card ,145000,Brand New,1463,False,
ASUS ROG Strix GeForce RTX 3080 V2 LHR 10GB GDDR6X White OC Edition Gaming GPU,185900,Brand New,0,False,0
MSI NVIDIA GeForce RTX 3080 GAMING Z TRIO 10G LHR - Ships Free ✅,152500,Brand New,0,False,
"EVGA RTX 3080 XC3 ULTRA HYBRID GAMING, 10G-P5-3888-KL LHR, NO RESERVE!",100000,Brand New,3140,False,
New ListingNON-LHR EVGA RTX 3080 FTW3 ULTRA GAMING 10GB (10G-P5-3897-KR),210000,Pre-Owned,1999,False,
New Listing🚀SEALED EVGA GeForce RTX 3080 Ti FTW3 ULTRA🚚SHIPS ASAP✅A+ Seller,119900,Brand New,1325,False,
New ListingASUS ROG Strix GeForce RTX 3080 OC V2 10GB GDDR6X LHR SEALED,162500,Pre-Owned,2381,False,
"New ListingGigabyte RTX 3080 Turbo Graphics Card, Double Wide Slots, Rev 1.0, NON-LHR",215000,Brand New,0,False,0
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X 🔥 Brand New!,142500,Brand New,0,False,
New ListingEVGA GeForce RTX 3080 10GB GDDR6X FTW3 Ultra Gaming Graphics Card 10G-P5-3897-KL,160000,Brand New,955,False,
New ListingNEW ZOTAC GAMING GeForce RTX 3080 Ti AMP Holo 12GB GDDR6X Graphics Card,175000,Brand New,4405,False,
ASUS ROG STRIX RTX 3080 OC V2 LHR 10GB GDDR6X GRAPHICS CARD GPU FAST SHIPPING!,171500,Brand New,2435,False,
New ListingNVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card **SEALED**,165101,Brand New,2495,False,
ASUS ROG STRIX OC GUNDAM EDITION GeForce RTX 3080 Graphics Card FREE FEDEX 2-DAY,277700,Open Box,0,True,0
New ListingEVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X,200000,Pre-Owned,2075,False,
New ListingGIGABYTE GeForce RTX 3080 GAMING OC WATERFORCE WB 10G (rev2.0) 8GB GDDR6X GPU,149900,Brand New,2499,False,
New Listing🔥🔥NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card🔥🔥,135000,Brand New,1369,False,
New ListingEVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card NEW/SEALED,189900,Brand New,4405,False,
New ListingEVGA GeForce RTX 3080 FTW3 ULTRA 10GB GDDR6X Graphics Card LHR. Fast shipping!,102500,Brand New,1999,False,
NVIDIA GeForce RTX 3080 FE Founders Edition 10GB GDDR6X (Non-LHR),157500,Pre-Owned,4000,False,
New Listing AORUS GeForce RTX 3080 Ti XTREME WATERFORCE 12GB Graphics Card ALL IN ONE,185000,Brand New,4855,False,
MSI - NVIDIA Geforce RTX 3080 Ventus 10GB GDDR6X Graphics Card - FREE SHIPPING✔✔,142500,Brand New,0,False,
New ListingEVGA NVIDIA GeForce RTX 3080 XC3 10GB GDDR6X Graphics Card (10G-P5-3885-KH),154500,Brand New,3140,False,0
🔥 ZOTAC GAMING GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X GPU 🚀 IN HAND,149895,Brand New,4149,False,
New ListingEVGA GeForce RTX 3080 XC3 ULTRA HYBRID 10GB GDDR6X Graphic Card  10G-P5-3888-KR,189900,Pre-Owned,1899,False,
New ListingEVGA RTX 3080 XC3 ULTRA GAMING 10GB GDDR6X Graphics Card 10G-P5-3885-KH,155000,Brand New,1199,False,
🚀Fast Shipping🚀 ASUS ROG Strix GeForce RTX 3080 White OC Edition 10G V2 (LHR),194900,Brand New,5000,False,
New ListingGIGABYTE AORUS GeForce RTX 3080 Ti XTREME 12GB GDDR6X Graphics Card w LTD Robot,194900,Brand New,1879,False,
ASUS ROG Strix NVIDIA GeForce RTX 3080 V2 OC Edition Gaming Graphics Card,108900,Open Box,0,False,
New ListingGIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 1‎0GB GDDR6X Graphics Card,189500,Pre-Owned,0,False,
ZOTAC GAMING GEFORCE RTX 3080 TRINITY OC LHR ZT-A30800J-10PLHR BRAND NEW!!,145000,Brand New,0,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,165100,Brand New,2000,False,
GIGABYTE GeForce RTX 3080 GAMING OC Graphics card Air Cooler -Pm 4 Lower Price,135000,Open Box,5000,False,0
GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card Non LHR ,209999,Pre-Owned,0,False,
EVGA GeForce RTX 3080 10GB GDDR6X FTW3 Ultra Gaming Graphics Card 10G-P5-3897-KL,125000,Pre-Owned,2500,False,
New ListingEVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card IN HAND.,170000,Brand New,1225,False,
New ListingMSI NVIDIA GeForce RTX 3080 Sea Hawk X 10G LHR 10GB GDDR6X Video Graphics Card,165000,Brand New,1307,False,
New ListingNon-LHR MSI GeForce RTX 3080 GAMING X TRIO 10GB GDDR6X Graphics Card Non-LHR,120900,Pre-Owned,1840,False,
New Listing🔥EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB 12G-P5-3967-KR🔥,194999,Brand New,0,False,
ASUS ROG Strix GeForce RTX 3080 V2 LHR 10GB GDDR6X White OC Edition Gaming GPU,206900,Brand New,1625,False,
New ListingEVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card LHR,139900,Open Box,1065,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition Graphics Card,194998,Brand New,0,False,0
NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card,205000,Pre-Owned,0,False,0
New ListingEVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB (10G-P5-3897-KL),102500,Brand New,1216,False,
New ListingNVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphic Card Non-LHR,244900,Brand New,0,False,
New ListingNEW EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB (10G-P5-3897-KL LHR),100700,Brand New,1344,False,
New ListingEVGA GeForce RTX 3080 Ti FTW3 12GB GDDR6X Graphic Card (12G-P5-3967-KB),152500,Brand New,1500,False,
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card,132500,Brand New,1065,False,
ASUS NVIDIA GeForce RTX 3080 TUF Gaming V2 10GB GPU (LHR) 🔥FREE 2 DAY SHIP🔥,159999,Brand New,0,False,0
🚀FREE SHIPPING🚀 ASUS ROG Strix GeForce RTX 3080 White OC Edition 10GB V2 LHR,184999,Brand New,0,False,
,,,,False,
ASUS TUF GAMING NVIDIA GEFORCE RTX 3080 VIDEO CARD | TUF-RTX3080-10G-GAMING,112599,Pre-Owned,1222,True,
EVGA GeForce RTX 3080 10GB GDDR6X FTW3 Ultra Gaming Graphics Card 10G-P5-3897-KR,135000,Brand New,835,False,
New ListingMSI GeForce RTX 3080 SUPRIM X 10G Graphics Card(not LHR),155000,Open Box,1065,False,
New ListingEVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card,122500,Brand New,3000,False,
ASUS TUF Gaming GeForce RTX 3080 Ti OC 12GB GDDR6X Graphics Card,172500,Brand New,5470,False,
GIGABYTE NVIDIA GeForce RTX 3080 Gaming OC Waterforce WB 10G,127500,Open Box,1065,False,
NVIDIA GeForce RTX 3080 Ti 12GB GDDR6X Graphics Card. New in the box. Ships fast,157500,Brand New,1394,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card NEW/SEALED,172800,Brand New,1065,False,
NEW NVIDIA GEFORCE RTX 3080 Ti FOUNDERS EDITION 12GB GDDR6X GRAPHICS CARD SEALED,185000,Brand New,1085,False,
NVIDIA GeForce RTX 3080 SEALED BOX Founder Edition FE 10GB Graphics Card-non LHR,202500,Brand New,4000,False,
New Listingmsi gaming geforce rtx 3080 ti 12gb,130000,Brand New,3000,False,
**NEW** MSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X Graphics Card,155000,Brand New,1500,False,
ASUS TUF Gaming RTX 3080 NON LHR,182500,Pre-Owned,3000,False,
GIGABYTE GeForce RTX 3080 Ti GAMING OC 12GB GDDR6X Graphics Card,152500,Brand New,2435,False,
SEALED - NVIDIA GeForce RTX 3080 Ti FE 12GB GDDR6X (READY TO SHIP),182498,Brand New,0,False,
ASUS ROG Strix GeForce RTX 3080 OC V2 10GB GDDR6X Graphics Card NEW,165499,Brand New,0,False,0
New ListingNEW GIGABYTE AORUS GeForce RTX 3080 XTREME 10GB GDDR6X Rev 2.0 LHR ✅,151500,Brand New,0,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X GPU free ground shipping,189800,Brand New,0,False,
New ListingGIGABYTE GeForce RTX 3080 Ti VISION OC 12GB GDDR6X Graphics Card *Ships Fast*,184999,Brand New,0,False,0
gigabyte geforce rtx 3080 gaming oc waterforce wb,127500,Open Box,955,False,
NON LHR ASUS ROG Strix GeForce RTX 3080 OC 10GB GDDR6X Graphics Card,220000,Pre-Owned,0,False,
GIGABYTE AORUS RTX 3080 XTREME WATERFORCE WB Rev 2.0 - (READ DESCRIPTION),150000,Open Box,12700,False,
MSI GAMING GEFORCE RTX 3080TI 12GB,165101,Refurbished,2435,False,
New ListingASUS GeForce RTX 3080 TUF Gaming 10GB GDDR6X NON-LHR SHIPS TODAY!,190000,Open Box,2500,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card GPU NEW,172500,Brand New,2795,False,
MSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X Nvidia Graphics Video Card,169998,Brand New,1595,False,
MSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X NON-LHR ✅FREE FAST SHIPPING✅,224999,Pre-Owned,0,False,0
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card,187500,Brand New,0,False,
NVIDIA - FOUNDERS EDITION GeForce RTX 3080 Ti 12GB GDDR6X - Titanium/Black,184999,Brand New,0,True,0
*IN HAND* NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,181999,Brand New,1540,False,
"New ListingSEALED Brand New EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING, 12G-P5-3967-KR GPU",189903,Brand New,2903,False,
"""Graphics Card"" Alienware GeForce RTX 3080 GDDR6X 10gb (Non-LHR) Dell OEM",170100,Pre-Owned,0,False,
ZOTAC GAMING GeForce RTX 3080 Trinity OC 10GB NON-LHR Graphics Card Free Ship,154500,Pre-Owned,0,False,
GIGABYTE NVIDIA GeForce RTX 3080 LHR 10GB GDDR6 Graphics Card LHR,109300,Brand New,0,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X 10G-P5-3897-KR Non-LHR GPU,152500,Pre-Owned,1705,False,
"EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X 🔥 SEALED, TRUSTED 🔥",155100,Pre-Owned,3520,False,
NVIDIA GeForce RTX 3080 Founders Edition FE 10GB - Non LHR!,194500,Open Box,0,False,
EVGA GeForce RTX 3080 XC3 Ultra Gaming 10GB GDDR6X Graphics Card 10G-P5-3885-KH,107500,Brand New,1065,False,
New ListingEVGA RTX 3080 10GB GDDR6X FTW3 Ultra Gaming Graphics Card (10G-P5-3897-KL) NIB,102500,Brand New,2000,False,
MSI GeForce RTX 3080 Gaming Z Trio 10GB GDDR6X Graphics Card,150000,Brand New,1065,False,
New ListingAtlanta Pickup Only! NVIDIA GeForce RTX 3080 Ti Founders Edition Graphics Card,179500,Brand New,,False,
