name,price,status,shipping,free_returns,items_sold
,,,,False,
ASUS ROG STRIX GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 W/ COOLER,$2395.0,Open Box,$19.9,False,
New Listing🔥 ZOTAC GAMING GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X GPU 🚀 IN HAND,$1498.95,Brand New,$41.49,False,
New ListingNEW NVIDIA GEFORCE RTX 3080 Ti FOUNDERS EDITION 12GB GDDR6X GRAPHICS CARD SEALED,$1850.0,Brand New,$10.85,False,
NEW EVGA GeForce RTX 3080 XC3 Ultra Gaming 10GB LHR Graphics Card SHIPS TODAY!,$1539.99,Brand New,$0,False,
New ListingEVGA GeForce RTX 3080 Ti XC3 ULTRA HYBRID GAMING Graphics Card,$1895.0,Brand New,$0,False,0
New ListingNew! GIGABYTE GeForce RTX 3080 GAMING OC LHR GDDR6X GPU ,$1499.99,Brand New,$0,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card - LHR,$1350.0,Pre-Owned,$16.11,False,
New ListingNVIDIA GeForce RTX 3080 Ti Founders Edition 12GB Graphics Card PRIORITY SHIPPING,$1855.97,Brand New,$0,False,
New ListingEVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB LHR GPU ✅ FREE EXPRESS SHIPPING ✅,$1599.99,Brand New,,False,0
New ListingEVGA RTX 3080 FTW3 Graphics Card NON LHR,$2194.44,Pre-Owned,$24.35,False,
EVGA GeForce RTX 3080 FTW3 ULTRA HYBRID GAMING - LHR - 10GB GDDR6X - IN HAND,$1599.99,Brand New,$0,False,
New ListingNVIDIA GIGABYTE GeForce RTX 3080 Ti GAMING 12G OC Graphics Card NEW,$1425.0,Brand New,$87.35,False,
New ListingZOTAC GAMING GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X Graphics Card Brand New,$1499.9,Brand New,,True,
ASUS NVIDIA GeForce RTX 3080 TUF Gaming V2 10GB GDDR6X LHR Graphics Card,$1600.0,Brand New,$0,True,0
New ListingMSI - NVIDIA Geforce RTX 3080 Ventus 10GB GDDR6X Graphics Card - FREE SHIPPING✔✔,$1230.0,Brand New,$0,False,
ZOTAC GAMING GEFORCE RTX 3080 TRINITY OC LHR ZT-A30800J-10PLHR BRAND NEW!!,$1450.0,Brand New,$0,False,
ASUS ROG Strix GeForce RTX 3080 OC V2 GDDR6X LHR - Ships ASAP,$1579.98,Brand New,$18.98,False,
New ListingGIGABYTE GeForce RTX 3080 GAMING OC 10G 10GB GDRR6X Graphics Card...,$1575.0,Pre-Owned,$16.02,False,
New Listing*BRAND NEW*🔥GIGABYTE GeForce RTX 3080 Ti GAMING OC 12GB GDDR6X -⚡️Fast Shipping,$1799.99,Brand New,$20.0,False,
"New ListingEVGA NVIDIA GeForce RTX 3080 Ti XC3 ULTRA HYBRID GAMING, 12G-P5-3958-KR",$1200.0,Pre-Owned,$55.1,False,
New ListingNVIDIA GeForce RTX 3080 Ti Founders Edition FE 12GB GDDR6X GPU New Sealed,$1849.99,Brand New,,False,0
New ListingEVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card,$1849.0,Pre-Owned,,False,
"New ListingEVGA GeForce RTX 3080 Ti FTW3 ULTRA HYBRID GAMING, 12G-P5-3968-KR, 12GB GDDR6X",$1950.0,Brand New,$35.2,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition Graphics Card,$1949.98,Brand New,,False,0
New ListingGIGABYTE GeForce RTX 3080 Ti EAGLE 12GB GDDR6X Graphics Card,$1340.0,Pre-Owned,$22.71,False,
New ListingNVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,$1525.0,Brand New,$31.4,False,
New ListingNVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card NON-LHR,$1999.99,Pre-Owned,$39.15,False,
New ListingASUS ROG STRIX RTX 3080 WHITE Edition 10GB GDDR6X Graphics Card,$1898.0,Brand New,$14.06,False,
EVGA GeForce RTX 3080 10GB GDDR6X FTW3 Ultra Gaming Graphics Card 10G-P5-3897-KL,$1093.0,Pre-Owned,$10.65,False,
NEW GIGABYTE AORUS MASTER GeForce RTX 3080 10 GB GDDR6X Graphics Card rev 3 LHR,$1600.0,Brand New,,False,
GIGABYTE GeForce RTX 3080 Ti GAMING OC 12GB GDDR6X Graphics Card,$1224.0,Brand New,$24.35,False,
New ListingMSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X Graphics Card LHR,$1549.0,Brand New,$17.38,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card - IN HAND,$1599.0,Brand New,$8.5,False,
New ListingNVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,$1800.0,Brand New,$25.0,False,
NVIDIA GeForce RTX 3080 FE Founders Edition 10GB GDDR6X (Non-LHR),$1524.0,Pre-Owned,$40.0,False,
New ListingASUS TUF Gaming Nvidia GeForce RTX 3080 V2 OC Edition,$1565.0,Brand New,$0,False,
New ListingEVGA RTX 3080 XC3 Ultra Graphics Card Brand New Sealed 10G-P5-3885-KH FREE SHIP,$1575.0,Brand New,,False,
Atlanta Pickup Only! NVIDIA GeForce RTX 3080 Ti Founders Edition Graphics Card,$1795.0,Brand New,,False,0
New ListingEVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING 12GB GDDR6X Graphics Card USED,$1785.0,Pre-Owned,$0,False,
New ListingNVIDIA GeForce RTX 3080 Founders Edition FE 10GB - Non LHR!,$1920.0,Open Box,$0,False,
New ListingEVGA GeForce RTX 3080 Ti XC3 ULTRA HYBRID GAMING 12GB GDDR6X Graphics Card,$1750.0,Open Box,$13.0,False,0
New ListingNvidia Geforce RTX 3080 (NON-LHR) 10GB Graphics card Lenovo OEM,$2099.99,Pre-Owned,$0,False,
GIGABYTE NVIDIA GeForce RTX 3080 LHR 10GB GDDR6 Graphics Card LHR,$1093.0,Brand New,$0,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,$1809.99,Brand New,$17.5,False,
NEW Gigabyte GeForce RTX 3080 Gaming OC Waterforce WB 10GB GDDR6X LHR REV 2,$1439.95,Brand New,$40.59,False,0
New ListingBRAND NEW EVGA GeForce RTX 3080 Ti XC3 ULTRA 10GB GDDR6X NVIDIA Graphics Card,$1839.99,Brand New,,False,0
ASUS TUF Gaming RTX 3080 NON LHR,$1700.0,Pre-Owned,$30.0,False,
NEW NVIDIA GeForce RTX 3080 10GB Graphics Card GPU DELL OEM SHORT MODEL NON-LHR,$2249.99,Brand New,$0,False,
New ListingEVGA Nvidia RTX 3080 Ti FTW3 ULTRA Graphics Card,$1850.0,Brand New,$9.85,False,
New ListingEVGA GeForce RTX 3080 Ti FTW3 Ultra 12GB GDDR6X Graphic Card (12G-P5-3967-KB),$1550.0,Brand New,$10.0,False,
EVGA GeForce RTX 3080 FTW3 Ultra 10GB GDDR6 10G-P5-3897-KR *Non LHR* GPU NVIDIA,$2488.88,Brand New,$0,False,
New ListingEVGA GeForce RTX 3080 Ti XC3 GAMING 12GB GDDR6X Graphics Card (12G-P5-3953-KR),$1800.0,Pre-Owned,$19.02,False,
New ListingNVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,$1451.0,Brand New,$21.15,False,
New ListingEVGA GeForce RTX 3080 XC3 ULTRA GAMING *B-Stock* 10G-P5-3885-RX (NON LHR),$2000.0,Refurbished,$0,False,
"New ListingEVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X 🔥 SEALED, TRUSTED 🔥",$1446.11,Pre-Owned,$35.2,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card NEW/SEALED,$1528.0,Brand New,$10.65,False,
EVGA NVIDIA GeForce RTX 3080 XC3 10GB GDDR6X Graphics Card LHR (10G-P5-3885-KH),$1275.0,Brand New,$19.99,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GPU 🔥✈️FREE 2 DAY SHIP🔥✈️,$1949.99,Brand New,,False,0
ASUS NVIDIA GeForce RTX 3080 TUF Gaming V2 10GB GPU (LHR) 🔥FREE 2 DAY SHIP🔥,$1599.99,Brand New,,False,0
,,,,False,
EVGA NVIDIA GeForce RTX 3080 XC3 10GB GDDR6X Graphics Card LHR (10G-P5-3885-KH),$1275.0,Brand New,$19.99,False,
New ListingASUS ROG Strix Nvidia GeForce RTX 3080 V2 OC Edition,$1599.0,Brand New,$0,False,
New ListingNEW EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X LHR Graphics Card SEALED,$1599.0,Brand New,$0,True,
New ListingMSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X Nvidia Graphics Video Card,$1699.98,Brand New,$15.95,False,
New Listing✅ EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB LHR GPU ✅ FREE EXPRESS SHIPPING ✅,$1674.99,Brand New,,False,
New ListingNVIDIA GIGABYTE GeForce RTX 3080 Ti GAMING 12G OC Graphics Card SHIPS FAST,$1325.0,Pre-Owned,$14.65,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING Graphics Card LHR,$1569.0,Brand New,,False,
NON LHR - EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card,$1975.0,Pre-Owned,$9.55,False,
GIGABYTE NVIDIA GeForce RTX 3080 Gaming OC Waterforce WB 10G,$1225.0,Open Box,$10.65,False,
NEW ASUS ROG STRIX RTX 3080 010G WHITE V2 LHR Graphics Card,$1640.0,Brand New,$0,False,
GIGABYTE AORUS RTX 3080 XTREME WATERFORCE WB Rev 2.0 - (READ DESCRIPTION),$1500.0,Open Box,$127.0,False,
ASUS ROG STRIX RTX 3080 OC V2 LHR 10GB GDDR6X GRAPHICS CARD GPU FAST SHIPPING!,$1297.0,Brand New,$24.35,False,
New ListingASUS ROG Strix GeForce RTX 3080 OC 10GB GDDR6X NON LHR ✅ FREE EXPRESS SHIPPING ✅,$2499.99,Brand New,,False,0
ASUS NVIDIA GeForce RTX 3080 TUF Gaming V2 10GB GPU (LHR) 🔥FREE 2 DAY SHIP🔥,$1599.99,Brand New,,False,0
ASUS ROG Strix GeForce RTX 3080 V2 LHR 10GB GDDR6X White OC Edition Gaming GPU,$1859.0,Brand New,,False,0
New Listinggigabyte geforce rtx 3080 gaming oc waterforce wb,$1175.0,Open Box,$9.55,False,
ZOTAC GAMING GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X Graphics Card Brand New,$1468.0,Brand New,$31.4,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,$1425.0,Brand New,$20.0,False,
GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card #,$1799.99,Pre-Owned,$0,False,0
🔥 ZOTAC GAMING GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X GPU 🚀 FAST SHIPPING,$1479.99,Brand New,,False,
New ListingNVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card - unopened,$1825.0,Brand New,$17.95,False,
New ListingNVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card,$1500.0,Pre-Owned,$14.22,False,
EVGA GeForce RTX 3080 XC3 Ultra Gaming 10GB GDDR6X Graphics Card 10G-P5-3885-KH,$1225.0,Brand New,$10.65,False,
New ListingASUS ROG Strix GeForce RTX 3080 White OC Edition 10GB GDDR6X Graphics Card GPU,$1899.0,Brand New,$49.0,True,
New ListingASUS ROG STRIX RTX 3080 OC V2 LHR,$1700.0,Brand New,$12.65,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,$1625.0,Brand New,$17.57,False,
ASUS ROG Strix GeForce RTX 3080 Ti OC (SUPRIM) 12GB GDDR6X Graphics Card,$1600.0,Pre-Owned,$0,False,
New ListingEVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card Non-LHR 10G-P5-3885-RX,$2199.99,Brand New,$0,False,
EVGA GeForce RTX 3080 XC3 Ultra Gaming 10GB GDDR6X Graphics Card...,$1275.0,Open Box,$9.25,False,
GIGABYTE GeForce RTX 3080 GAMING OC WATERFORCE WB 10G (rev2.0) 8GB GDDR6X...,$1100.0,Brand New,$10.65,False,
NVIDIA GEFORCE RTX 3080 Ti Founders Edition NEW FACTORY SEALED,$1626.0,Brand New,$21.15,False,
New ListingEVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X NVIDIA Card (non LHR) FHR,$2199.99,Pre-Owned,,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card *BRAND NEW*,$1925.0,Brand New,$0,False,
NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card UNOPENED,$1900.0,Brand New,$10.15,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card SHIPS FAST,$1799.0,Pre-Owned,$22.87,False,
NEW GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card ,$1629.99,Brand New,$0,True,0
"New ListingEVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming 12GB GDDR6X, FREE shipping",$1999.0,Brand New,$24.2,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card NEW Sealed,$1850.0,Brand New,$50.0,False,
NVIDIA GeForce RTX 3080 TI 12GB Founders Edition Graphic Card - In Hand,$1849.0,Brand New,,False,
New ListingNEW EVGA NVIDIA GeForce RTX 3080 XC3 10GB GDDR6X Graphics Card,$1599.0,Brand New,$0,False,
New ListingGIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card Non LHR ,$2249.99,Pre-Owned,,False,
"""Graphics Card"" Alienware GeForce RTX 3080 GDDR6X 10gb (Non-LHR) Dell OEM",$1701.0,Pre-Owned,$0,False,
"GIGABYTE RTX 3080 VISION OC 10GB GDDR6X Graphics Card White, FREE SHIPPING ✅",$1625.0,Brand New,$0,False,
New ListingNEW GIGABYTE GeForce RTX 3080 Gaming OC WATERFORCE WB 10G REV2 GPU SHIPS ASAP,$1489.0,Brand New,$35.2,False,
"New ListingGigabyte RTX 3080 Turbo Graphics Card, Double Wide Slots, Rev 1.0, NON-LHR",$2150.0,Brand New,,False,
EVGA GeForce RTX 3080 Ti FTW3 12GB GDDR6X Graphic Card (12G-P5-3967-KB),$1900.0,Brand New,$25.0,False,
NEW GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X Graphics Card rev 3.0 LHR,$1499.0,Brand New,$17.2,False,
MSI GeForce RTX 3080 Gaming Z Trio 10GB GDDR6X Graphics Card LHR - Free Shipping,$1500.0,Brand New,$0,False,
MSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X Graphics Card,$1275.0,Brand New,$0,False,
NEW EVGA GeForce RTX 3080 XC3 Ultra Hybrid Gaming 10GB ARGB LED 10G-P5-3888-KL,$1136.0,Brand New,$7.95,False,
"EVGA GeForce RTX 3080 FTW3 ULTRA GAMING, 10G-P5-3897-KR - Non-LHR",$1800.0,Pre-Owned,$22.65,False,
🔥ASUS ROG Strix GeForce RTX 3080 White OC Edition 10GB GDDR6X Graphics Card LHR,$1939.99,Brand New,$19.99,False,
FEDEX 2DAY NVIDIA GeForce RTX 3080 Ti 12GB Founders Edition GDDR6X Graphics Card,$1947.79,Brand New,,False,0
MSI NVIDIA Geforce RTX 3080 Ventus 10GB GDDR6X Graphics Card LHR OC Edition New,$1480.0,Brand New,$7.95,False,
,,,,False,
ASUS TUF Gaming GeForce RTX 3080 OC NON-LHR,$1275.0,Pre-Owned,$21.15,False,
GIGABYTE GeForce RTX 3080 Gaming OC WATERFORCE WB 10G (REV2.0) Graphics Card LHR,$1225.0,Brand New,$9.25,False,
EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card,$1850.0,Brand New,$0,False,
RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card EVGA GeForce,$1100.0,Brand New,$10.65,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition ✅ Brand New ✅  In Hand,$1625.0,Brand New,$20.0,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,$1239.0,Brand New,$13.55,False,
MSI GeForce RTX 3080 Gaming Z Trio 10GB GDDR6X Graphics Card,$1500.0,Brand New,$10.65,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,$1600.0,Open Box,$0,False,
MSI GeForce RTX 3080 GAMING X TRIO 10GB GDDR6X Graphics Card - NON LHR,$1975.0,Pre-Owned,$24.9,False,
New Listing*BNIB*🔥GIGABYTE GeForce RTX 3080 Ti VISION OC. GREAT in ALL-WHITE PC Build ⌨️,$1949.0,Brand New,,False,
EVGA RTX3080 FTW3 ULTRA 10GB GDDR6X (10G-P5-3897-KR) NON-LHR (+Hyrid Cooler),$1425.0,Pre-Owned,$69.39,False,
🔥LHR🔥 ASUS ROG Strix Nvidia GeForce RTX 3080 White OC Edition NEW SEALED,$1999.99,Brand New,,False,
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition GPU LHR Graphics Card,$1519.0,Pre-Owned,,False,
💎🤲 NEW Sealed NVIDIA GeForce RTX 3080 Ti Edition Graphics Card 💎🤲 FAST SHIP,$1824.99,Brand New,,False,
NON LHR EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card,$1775.0,Pre-Owned,$20.45,False,
NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card -...,$1825.0,Brand New,$14.25,False,
ASUS ROG Strix GeForce RTX 3080 OC 10GB GDDR6X Graphics Card,$1625.0,Brand New,$54.05,False,0
New ListingEVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X Graphics Card. Sealed.,$1999.99,Brand New,$34.5,False,
MSI GeForce RTX 3080 10GB GDDR6X Graphics Card 5V10W62712 (NON-LHR) -SB4545,$1425.0,Pre-Owned,$0,True,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card,$1575.0,Brand New,$17.95,False,
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card NON-LHR,$1320.0,Pre-Owned,$10.65,False,
ASUS ROG Strix GeForce RTX 3080 OC 10GB V2 GDDR6X Graphics Card - LHR  FAST SHIP,$1649.0,Brand New,$0,False,0
New ListingEVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING 12GB GDDR6X  BRAND NEW SAME DAY SHIP ,$1919.0,Brand New,,False,
ASUS TUF GeForce RTX 3080 OC Graphics Card ✅FULL HASHRATE ✅NON-LHR,$1750.0,Pre-Owned,$0,False,
Tested! RTX 3080 Founders Edition (NOT- LHR) 10GB GDDR6X PCI-E 4.0,$1825.0,Open Box,$29.99,False,
"""Graphics card"" Dell Alienware Rtx3080 GDDR6X 10gb (Non LHR)",$1851.0,Open Box,$15.95,False,
GIGABYTE GeForce RTX 3080 Ti GAMING OC 12GB GDDR6X 3X WINFORCE SHIPS TODAY,$1325.0,Open Box,$24.35,False,
"New ListingNEW, SEALED - NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB Graphics Card",$2200.0,Brand New,,False,
GIGABYTE AORUS GeForce RTX 3080 Ti XTREME WATERFORCE AIO 12GB Graphics Card,$1999.99,Brand New,,False,
GIGABYTE AORUS GeForce RTX 3080 10GB GV-N3080IXEB-10GD LHR,$1449.99,Open Box,$0,False,0
EVGA GeForce RTX 3080 10GB GDDR6X FTW3 Ultra Gaming Graphics Card - NON LHR -,$1800.0,Pre-Owned,$0,False,
NVIDIA GeForce RTX 3080 Founders Edition FE 10GB GDDR6X Graphics Card,$1425.0,Pre-Owned,$10.65,False,
New Listing🔥Nvidia Geforce Rtx 3080ti Founders Edition🔥 FE ✈instant shipping✈ ,$1869.99,Brand New,,False,0
New ListingGIGABYTE RTX 3080 GAMING OC 10GB Model GV-N3080GAMING OC-10GD Rev 2.0 LHR,$1419.0,Brand New,$12.65,False,
New ListingMSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X Graphics Card,$1093.0,Open Box,$13.44,False,
ZOTAC GAMING GeForce RTX 3080 Trinity OC 10GB Graphics Card🔥SEALED✅SHIPS NOW🚀,$1479.99,Brand New,,False,
New ListingZOTAC GAMING GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X🚚Fast Ship🚚2Day option,$1439.99,Brand New,$19.99,False,
NEW GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X Graphics Card rev 3.0 LHR,$1499.0,Brand New,$17.2,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X,$1850.0,Pre-Owned,$60.14,False,0
MSI GAMING GEFORCE RTX 3080TI 12GB,$1525.0,Refurbished,$24.35,False,
GIGABYTE GeForce RTX 3080 Ti VISION OC 12GB Graphics Card - NEW - SHIPS TODAY!,$1899.95,Brand New,$29.95,False,
🔥🔥 LHR - GIGABYTE AORUS RTX 3080 XTREME WATERFORCE - Ship ASAP 🔥🔥,$1559.98,Brand New,$19.98,False,
"New Listing🔥⚡️EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming 12GB GDDR6X, BRAND NEW SEALED🚀🔥",$1899.0,Brand New,$0,False,
MSI GeForce RTX 3080 GAMING X TRIO 10GB GDDR6X Graphics Card,$1500.0,Open Box,$25.0,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X Graphics Card...,$1400.0,Brand New,$9.25,False,
ASUS TUF Gaming GeForce RTX 3080 10GB (Non LHR) FHR,$1770.0,Pre-Owned,$31.4,False,
Nvidia GeForce RTX 3080 ASUS STRIX-RTX3080-O10G-V2-GAMING ROG Video Card,$1699.99,Brand New,$15.95,False,
ASUS TUF Gaming GeForce RTX 3080 OC 10GB GDDR6X Graphics Card,$1324.0,Brand New,$30.0,False,
🟥Used EVGA GeForce RTX 3080 Ti XC3 HYBRID GAMING 12GB GDDR6X🟥,$1750.0,Pre-Owned,$19.0,False,
New ListingGIGABYTE GeForce RTX 3080 GAMING OC 10GB GDDR6X Graphics Card ,$1450.0,Brand New,$30.0,False,
New ListingMSI - NVIDIA Geforce RTX 3080 VENTUS 3X PLUS 10G OC LHR 10GB GDDR6X ,$1349.0,Brand New,$25.1,False,
NVIDIA GeForce RTX 3080 Ti Founders Edition 12GB GDDR6X Graphics Card FAST SHIP,$1580.0,Brand New,$13.55,False,
NON-LHR ASUS GeForce RTX 3080 10GB (TUF-RTX3080-O10G-GAMING),$1775.0,Pre-Owned,$23.27,False,
New ListingGIGABYTE GeForce RTX 3080 Ti VISION OC 12GB GDDR6X Graphics Card 🔥 BRAND NEW 🔥,$1888.0,Brand New,$0,False,
EVGA GeForce RTX 3080 FTW3 ULTRA 10GB Graphics Card 10G-P5-3897-KL - IN HAND,$1600.0,Brand New,$0,False,0
,,,,False,
"New ListingEVGA GeForce RTX 3080 FTW3 ULTRA GAMING, 10G-P5-3897-KR - Non-LHR",$2298.95,Pre-Owned,,False,
ZOTAC GAMING GeForce RTX 3080 Trinity OC LHR 10GB GDDR6X Brand New Free Shipping,$1550.0,Brand New,,False,
New ListingGIGABYTE GeForce RTX 3080 Ti VISION OC 12GB Graphics Card OVERNIGHT SHIPPING,$1999.99,Brand New,,False,
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING | 10G-P5-3897-KL |10GB GDDR6X NVIDIA GPU,$1210.0,Pre-Owned,$22.87,False,
ZOTAC GAMING GeForce RTX 3080 Trinity OC 10GB NON-LHR Graphics Card Free Ship,$1495.0,Pre-Owned,$0,False,
ASUS ROG Strix GeForce RTX 3080 Ti OC 12GB GDDR6X Graphics Card,$1525.0,Pre-Owned,$0,False,
Aorus Gaming Box - RTX 3080 Liquid-Cooled eGPU,$1650.0,Open Box,$50.0,False,0
NEW ✅ GIGABYTE AORUS GEFORCE RTX 3080 Ti MASTER 12GB GDDR6X ⚡ GRAPHICS CARD GPU ,$1899.99,Brand New,$0,False,0
New ListingMSI GeForce RTX 3080 Ventus 3X 10G OC 10GB GDDR6X Graphics Card (BRAND NEW),$1820.0,Brand New,$62.8,False,
GIGABYTE Nvidia GeForce RTX 3080 Gaming OC Waterforce WB,$1225.0,Brand New,$18.21,False,
NVIDIA GeForce RTX 3080 Founders Edition 10GB GDDR6X Graphics Card -...,$2000.0,Pre-Owned,$9.3,False,
GIGABYTE AORUS GeForce RTX 3080 Xtreme Waterforce WB 1‎0gb Gddr6x Graphics Card,$1690.62,Brand New,$30.81,False,
MSI GeForce RTX 3080 Ti SUPRIM X 12G DDR6X 3XDP 1XHDMI 🔥,$1875.0,Brand New,$0,False,
GIGABYTE Nvidia GeForce RTX 3080 Gaming OC Waterforce Rev 2. BRAND NEW,$1499.0,Brand New,$0,False,
GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X Graphics Card REV 1.0 NON-LHR,$2149.99,Pre-Owned,$0,False,
New ListingNVIDIA GeForce RTX 3080 Ti FOUNDERS EDITION | SEALED | FREE EXPEDITED SHIPPING,$2000.0,Brand New,$0,True,
New ListingGIGABYTE GeForce RTX 3080 GAMING OC 10G 10GB GDRR6X Graphics Card Rev 1. NON-LHR,$766.0,Parts Only,$10.85,False,
evga geforce rtx 3080 ftw3 ultra non lhr,$1845.0,Open Box,$30.0,False,
